,displayUrl,location,moment,date,hour,minute,lat,lng,date_nasa,temp_2m,wind_10m,precipitation
0,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F86.jpeg?alt=media&token=6b784973-9d23-44be-b8d9-bae5d349e986,"Toronto, Canada",86,2017-01-20 00:00:00+00:00,2,18,43.651893,-79.381713,20170120,1.82,3.85,0.59
1,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F87.jpeg?alt=media&token=d837b48c-3833-42ce-92df-d22c67fdf3f2,,87,2017-01-21 00:00:00+00:00,17,55,18.784635,100.777315,20170121,20.32,1.79,0.0
2,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F89.jpeg?alt=media&token=a8ef08bc-78b6-466e-82a3-efa74b52574a,"Toronto, Canada",89,2017-01-23 00:00:00+00:00,2,36,43.651893,-79.381713,20170123,1.96,8.04,0.53
3,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F90.jpeg?alt=media&token=38f6119e-f28e-46ce-835a-dce4aaf0712c,"Toronto, Canada",90,2017-01-24 00:00:00+00:00,10,0,43.651893,-79.381713,20170124,-0.35,4.38,0.91
4,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F91.jpeg?alt=media&token=30db533b-68fc-4730-8d31-5b1a4f15433c,"Toronto, Canada",91,2017-01-25 00:00:00+00:00,14,30,43.651893,-79.381713,20170125,1.19,4.48,1.61
5,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F93.jpeg?alt=media&token=ca3b03cd-b5f5-4547-9d10-04ba3fa8f736,"Toronto, Canada",93,2017-01-27 00:00:00+00:00,22,35,43.651893,-79.381713,20170127,-0.08,9.67,0.58
6,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F95.jpeg?alt=media&token=a6937818-a03b-45f7-936b-6c1f41915ccf,"Toronto, Canada",95,2017-01-29 00:00:00+00:00,7,59,43.651893,-79.381713,20170129,-3.9,6.37,0.65
7,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F97.jpeg?alt=media&token=b25ac5a9-b635-4691-a980-49448a3f1d50,"Toronto, Canada",97,2017-01-31 00:00:00+00:00,23,9,43.651893,-79.381713,20170131,-3.61,4.73,0.93
8,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F98.jpeg?alt=media&token=05cb92b9-95ca-47e8-8b86-cd3cf6560614,"Toronto, Canada",98,2017-02-01 00:00:00+00:00,9,34,43.651893,-79.381713,20170201,-1.27,7.33,0.85
9,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F99.jpeg?alt=media&token=498e31e9-dae0-43bb-8c20-ae821e79099e,,99,2017-02-02 00:00:00+00:00,3,13,18.784635,100.777315,20170202,20.73,1.64,0.0
10,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F100.jpeg?alt=media&token=06f11b56-95e4-4f7f-82e7-e26fa613b828,"Toronto, Canada",100,2017-02-03 00:00:00+00:00,15,8,43.651893,-79.381713,20170203,-6.41,8.6,1.49
11,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F101.jpeg?alt=media&token=d96e4bff-6b46-4637-8cda-33926b171e50,"Toronto, Canada",101,2017-02-04 00:00:00+00:00,11,37,43.651893,-79.381713,20170204,-4.92,8.37,1.3
12,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F102.jpeg?alt=media&token=4030b315-a3b8-45e9-a58a-6cbeb3c26c44,,102,2017-02-05 00:00:00+00:00,2,29,18.784635,100.777315,20170205,20.95,1.34,0.0
13,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F104.jpeg?alt=media&token=997118e5-3594-4f89-8141-e37c28e5fd89,"Toronto, Canada",104,2017-02-07 00:00:00+00:00,12,7,43.651893,-79.381713,20170207,0.46,8.44,7.75
14,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F106.jpeg?alt=media&token=271c51a8-a3f2-426e-9c57-ab9cc130f743,"Toronto, Canada",106,2017-02-09 00:00:00+00:00,13,39,43.651893,-79.381713,20170209,-7.97,6.74,2.24
15,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F107.jpeg?alt=media&token=37eea6ba-041e-4fd4-a8e3-2e78a9ea2cc0,"Toronto, Canada",107,2017-02-10 00:00:00+00:00,23,16,43.651893,-79.381713,20170210,-4.83,7.2,2.07
16,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F108.jpeg?alt=media&token=5342c7b2-bf99-4f66-b2f9-1ca75790f1a4,"Toronto, Canada",108,2017-02-11 00:00:00+00:00,0,54,43.651893,-79.381713,20170211,0.05,3.55,0.69
17,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F110.jpeg?alt=media&token=2a77f397-a496-4db9-ac3f-ec8f9b60a4e1,"Toronto, Canada",110,2017-02-13 00:00:00+00:00,6,22,43.651893,-79.381713,20170213,-3.26,7.94,0.72
18,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F111.jpeg?alt=media&token=8957a217-0fc0-4bc7-b0f7-2f5272ff545f,"Toronto, Canada",111,2017-02-14 00:00:00+00:00,10,23,43.651893,-79.381713,20170214,-0.36,6.11,1.62
19,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F112.jpeg?alt=media&token=33c97b5c-89cb-4464-ae1f-275e27091c05,"Toronto, Canada",112,2017-02-15 00:00:00+00:00,7,3,43.651893,-79.381713,20170215,-2.13,7.52,2.62
20,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F114.jpeg?alt=media&token=ed0b3b52-50cd-42e2-8ea7-42bf2eb24c62,"Toronto, Canada",114,2017-02-17 00:00:00+00:00,9,10,43.651893,-79.381713,20170217,-4.05,2.8,0.05
