,displayUrl,location,moment,date,hour,minute,lat,lng
0,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F86.jpeg?alt=media&token=6b784973-9d23-44be-b8d9-bae5d349e986,"Toronto, Canada",86,2017-01-20 00:00:00+00:00,2,18,43.651893,-79.381713
1,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F87.jpeg?alt=media&token=d837b48c-3833-42ce-92df-d22c67fdf3f2,,87,2017-01-21 00:00:00+00:00,17,55,18.784635,100.777315
2,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F89.jpeg?alt=media&token=a8ef08bc-78b6-466e-82a3-efa74b52574a,"Toronto, Canada",89,2017-01-23 00:00:00+00:00,2,36,43.651893,-79.381713
3,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F90.jpeg?alt=media&token=38f6119e-f28e-46ce-835a-dce4aaf0712c,"Toronto, Canada",90,2017-01-24 00:00:00+00:00,10,0,43.651893,-79.381713
4,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F91.jpeg?alt=media&token=30db533b-68fc-4730-8d31-5b1a4f15433c,"Toronto, Canada",91,2017-01-25 00:00:00+00:00,14,30,43.651893,-79.381713
5,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F93.jpeg?alt=media&token=ca3b03cd-b5f5-4547-9d10-04ba3fa8f736,"Toronto, Canada",93,2017-01-27 00:00:00+00:00,22,35,43.651893,-79.381713
6,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F95.jpeg?alt=media&token=a6937818-a03b-45f7-936b-6c1f41915ccf,"Toronto, Canada",95,2017-01-29 00:00:00+00:00,7,59,43.651893,-79.381713
7,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F97.jpeg?alt=media&token=b25ac5a9-b635-4691-a980-49448a3f1d50,"Toronto, Canada",97,2017-01-31 00:00:00+00:00,23,9,43.651893,-79.381713
8,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F98.jpeg?alt=media&token=05cb92b9-95ca-47e8-8b86-cd3cf6560614,"Toronto, Canada",98,2017-02-01 00:00:00+00:00,9,34,43.651893,-79.381713
9,https://firebasestorage.googleapis.com/v0/b/minutiae-production.appspot.com/o/production%2Fmoments%2FjXtvmUtPb4aRNmVJ9ZcsO0eD8dA3%2Fdisplay%2F99.jpeg?alt=media&token=498e31e9-dae0-43bb-8c20-ae821e79099e,,99,2017-02-02 00:00:00+00:00,3,13,18.784635,100.777315
